ACCE_ABSORB	Bónusz abszorpció
ACCE_COMBINE	Kombináció
ACCE_MAIN	Pánt 1
ACCE_RESULT	Eredmény
ACCE_SERVE	Pánt 2
ACCEPT	OK
ATTACH_METIN_INFO	Használni akarod a Szellemkövet?
ATTACH_METIN_TITLE	Szellemkõ használata
CANCEL	Megszakít
CHANGE_PASSWORD_CONFIRM	Új jelszót megerõsít
CHANGE_PASSWORD_NEW	Új jelszó
CHANGE_PASSWORD_OLD	Régi jelszó
CHANGE_PASSWORD_TITLE	Jelszó változtatás
CHARACTER_ACTION	Akció
CHARACTER_EMOTICON	Érzelem
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Interaktív akció
CHARACTER_NORMAL_ACTION	Normál akció
CHARACTER_QUEST	Küldetések
CHARACTER_SKILL	Képesség
CLOSE	Bezár
CREATE_ATT_GRADE	Erõ
CREATE_CREATE	Létrehoz
CREATE_DEX_GRADE	ÜGY
CREATE_HP	VIT
CREATE_LAST_POINT	Pont
CREATE_MAN	Férfi
CREATE_NAME	Név
CREATE_NEXT	Tovább
CUBE_REQUIRE_MATERIAL	Szükséges anyagok
CUBE_REQUIRE_MATERIAL_OR	vagy
CREATE_PREV	Vissza
CREATE_SEX	Neme
CREATE_SHAPE	Kinézet
CREATE_SP	INT
CREATE_STAT_RESET	Vissza
CREATE_WOMAN	Asszony
CUBE_TITLE	Készít
EMPIRE_EXIT	Bezár
EMPIRE_NEXT	Tovább
EMPIRE_PREV	Vissza
EMPIRE_SELECT	Választani
EXCHANGE_ACCEPT	OK
EXCHANGE_TITLE	Kereskedés
GAMEOPTION_TITLE	Játék opciók
GAME_EXIT_OBSERVER	Megfigyelõ módot befejezni
GAME_HELP	Segítség
GAME_QUEST	Feladat
GAME_SKILL_UP	Képesség fejlesztés
GAME_STAT_UP	Státusz emelés
GUILDWINDOW_BASE_BUFF	Céh-bónusz
GUILD_BANKINFO_CLOSE	Bezár
GUILD_BANKINFO_NAME	Tag
GUILD_BANKINFO_TITLE	Céhraktár log
GUILD_BANKINFO_TYPE	Tárgy/Fizetõeszköz
GUILD_BANKINFO_USETYPE	Akció
GUILD_BANK_CLOSE	Bezár
GUILD_BANK_INFO	Tárolóoldal:
GUILD_BANK_NUMBER	Bank number
GUILD_BASEINFO_BANK	Céhraktár
GUILD_BASEINFO_BANKLASTOUT	Ut. kivett tárgy
GUILD_BASEINFO_BUILDING	Céhépület
GUILD_BASEINFO_DEAL	Céhterület eladása
GUILD_BASEINFO_FACTORY	Céh-kovács
GUILD_BASEINFO_GOLDMANAGE	Tranzakció
GUILD_BASEINFO_GUILDLAND	Céhterület
GUILD_BASEINFO_LANDABANDON	Céhterület feloszlatása
GUILD_BASEINFO_LANDSCAPE	Egyéb
GUILD_BASEINFO_LOCALE	Elhelyezkedés
GUILD_BASEINFO_MONEY	Egyenleg
GUILD_BASEINFO_MONEYBANKINFO	Céhbank információ
GUILD_BASEINFO_MONEYIN	Betét
GUILD_BASEINFO_MONEYLASTOUT	Utolsó kivét
GUILD_BASEINFO_MONEYOUT	Kivét
GUILD_BASEINFO_POWER	Az Erõ oltára
GUILD_BASEINFO_SMEITER	Céh-alkimista
GUILD_BASEINFO_TITLE	Terület-információ
GUILD_BASEINFO_VOTE	Szavazás
GUILD_BASENAME	Bázisnév
GUILD_BOARD_ID	Név
GUILD_BOARD_REFRESH	Frissít
GUILD_BOARD_TEXT	Üzenet
GUILD_BUILDING_CATEGORY_TITLE	Építõ darabok
GUILD_BUILDING_CHANGE	Cserélni
GUILD_BUILDING_DIRECTION	Irány
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_INFO	Épület- és költséginformációk
GUILD_BUILDING_LIST_TITLE	Épület lista
GUILD_BUILDING_LOG	Tönk
GUILD_BUILDING_NAME	Épület név
GUILD_BUILDING_OPERATE	Kiszolgál
GUILD_BUILDING_PLY	Furnér
GUILD_BUILDING_POSITION	Fekvés
GUILD_BUILDING_PREVIEW	Elõrejelzés
GUILD_BUILDING_PRICE	Ár
GUILD_BUILDING_REFRESH	Frissít
GUILD_BUILDING_STONE	Kõ
GUILD_BUILDING_TITLE	Céhház építés
GUILD_CRYSTAL	Kristály
GUILD_DEPOSIT	Fizetni
GUILD_DROP_RESOURCE1	itt
GUILD_DROP_RESOURCE2	Erõforrás eldobás
GUILD_GEM	Drágakõ
GUILD_GRADE_CHANGE_GRADE_NAME	Új rang név
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_DELETE	Eltávolítás a céhbõl
GUILD_GRADE_PERMISSION_JOIN	Felvehet játékost a céhbe
